Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
647a732beca5aefeea032e4a,63cbe791de660535b4761f79,APPROVED,2023-06-02T22:55:35.060000Z,2023-06-02T23:20:04.543000Z,2023-06-04T13:08:24.507000,2023-06-02T23:20:04.992733Z,1470,C6VEY6VR,181,66,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
647a7488b0a92bce721fcee6,60c08a14a8918abbf1632d78,APPROVED,2023-06-02T23:00:31.512000Z,2023-06-02T23:20:57.887000Z,2023-06-04T13:10:21.506000,2023-06-02T23:20:58.361674Z,1227,C6VEY6VR,163,20,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
647a75e70b9719b44e8a7ed1,646ea738b09c968e6f3a4cec,APPROVED,2023-06-02T23:06:22.551000Z,2023-06-02T23:21:29.626000Z,2023-06-04T13:10:26.541000,2023-06-02T23:21:30.506652Z,908,C6VEY6VR,25,65,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
647a767276929e28cf80389a,60883e078fa7828e99acb69a,APPROVED,2023-06-02T23:08:40.661000Z,2023-06-02T23:23:52.187000Z,2023-06-04T13:10:26.758000,2023-06-02T23:23:52.606223Z,912,C6VEY6VR,1391,41,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
647a7690c180ae21e968eab3,6474c2434fe592ada512c9a4,APPROVED,2023-06-02T23:10:11.102000Z,2023-06-02T23:47:06.197000Z,2023-06-04T13:10:26.981000,2023-06-02T23:47:07.007334Z,2216,C6VEY6VR,5,72,Female,Black,Nigeria,United States,Nigeria,English,No,DATA_EXPIRED
647a77918f59d70c067e18d0,602f329284781fbf09e0cafc,APPROVED,2023-06-02T23:13:27.414000Z,2023-06-02T23:26:58.882000Z,2023-06-04T13:10:21.738000,2023-06-02T23:26:59.633297Z,812,C6VEY6VR,1023,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
647a77a9a679248dd98a884a,5e3faa732596b01f5507c7bc,APPROVED,2023-06-02T23:13:48.814000Z,2023-06-02T23:28:11.795000Z,2023-06-04T13:10:27.203000,2023-06-02T23:28:12.328987Z,863,C6VEY6VR,390,40,Female,Asian,Korea,United States,Korea,English,No,Full-Time
647a77c9e28cb6a7ab7a6097,61592b5bb5f39ee9f3686afb,APPROVED,2023-06-02T23:14:19.568000Z,2023-06-02T23:26:55.884000Z,2023-06-04T13:10:27.410000,2023-06-02T23:26:56.313372Z,757,C6VEY6VR,422,39,Female,Asian,United States,United States,Philippines,English,No,Full-Time
647a782bd8ad72d5b32303db,5a6b7f02e6cc4a0001b6a591,APPROVED,2023-06-02T23:15:58.916000Z,2023-06-02T23:31:57.845000Z,2023-06-04T13:10:27.625000,2023-06-02T23:31:58.352211Z,959,C6VEY6VR,2083,54,Female,White,Canada,United States,United States,English,No,DATA_EXPIRED
647a783dca5d9c80b1e37fa4,60fcdd3be2ae9576df065728,APPROVED,2023-06-02T23:16:47.751000Z,2023-06-02T23:33:05.376000Z,2023-06-04T13:10:27.848000,2023-06-02T23:33:05.856666Z,978,C6VEY6VR,425,25,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
647a786b1db4c866da8038b7,64135d9db0d03edba0b91c08,APPROVED,2023-06-02T23:17:03.024000Z,2023-06-02T23:30:08.845000Z,2023-06-04T13:10:21.948000,2023-06-02T23:30:09.296528Z,786,C6VEY6VR,254,24,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
647a78cbc7216dfa3b43da22,5eea49c09e6f8711b4cdf3bb,APPROVED,2023-06-02T23:18:38.398000Z,2023-06-02T23:33:46.469000Z,2023-06-04T13:10:22.166000,2023-06-02T23:33:46.852690Z,909,C6VEY6VR,524,26,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
647a7a23c3286ef18a68eac1,6123ffd66668fe39928e28b0,APPROVED,2023-06-02T23:24:30.229000Z,2023-06-02T23:39:29.533000Z,2023-06-04T13:10:22.363000,2023-06-02T23:39:30.183648Z,900,C6VEY6VR,893,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
647a7a96be62e3a914ec999e,57d02ffb596f5d0001df741f,APPROVED,2023-06-02T23:26:28.346000Z,2023-06-02T23:40:11.424000Z,2023-06-04T13:10:22.581000,2023-06-02T23:40:11.836333Z,824,C6VEY6VR,1311,34,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
647a7bb0e4326dcee40b0bb9,63bd0ea81eb79e05e10d78d0,APPROVED,2023-06-02T23:31:03.895000Z,2023-06-02T23:44:01.034000Z,2023-06-04T13:10:22.805000,2023-06-02T23:44:01.483167Z,778,C6VEY6VR,173,31,Male,Asian,Philippines,United States,Philippines,English,No,Full-Time
