"participantNr","playerNr","age","gender"
30009,7,13,1
30005,8,13,2
30019,9,13,1
30016,10,14,1
30002,11,13,2
30015,12,13,1
30003,13,13,2
30014,14,14,5
30012,15,14,2
30013,16,14,2
30021,17,14,1
30008,19,13,5
30004,20,14,2
30017,21,14,1
30022,22,14,1
30018,23,14,1
30020,24,13,2
30006,25,13,2
30011,26,13,1
30001,27,13,2
30115,28,13,2
30105,29,13,1
30116,30,13,2
30108,31,14,2
30127,32,14,2
30106,33,12,2
30128,34,14,2
30125,35,13,2
30112,36,13,2
30114,37,14,2
30124,38,13,2
30109,39,13,5
30117,40,14,2
30110,41,13,2
30123,42,14,2
30107,43,13,2
30104,44,13,3
30103,45,13,1
30122,46,14,2
30126,47,13,2
30118,48,13,2
30119,49,14,1
30111,50,13,2
30120,51,13,1
30121,52,14,1
30113,53,13,2
30102,54,14,2
30209,55,13,1
30218,56,13,2
30222,57,13,2
30216,58,13,2
30215,59,12,2
30207,60,12,1
30227,61,13,2
30213,62,13,2
30217,63,13,2
30212,64,12,4
30203,65,12,1
30205,66,13,1
30214,67,12,2
30219,68,13,2
30221,69,13,2
30220,70,12,2
30230,72,12,2
30225,73,12,2
30204,74,13,1
30206,75,12,1
30226,76,13,1
30228,77,12,2
30224,78,12,2
30309,80,13,2
30304,81,12,2
30322,82,13,2
30321,83,12,2
30323,84,12,1
30305,85,12,2
30308,86,13,2
30301,87,12,2
30328,88,12,1
30329,89,13,1
30316,90,12,2
30327,91,13,5
30318,92,13,2
30317,93,13,2
30320,94,13,2
30325,95,12,2
30306,96,12,2
30314,97,13,1
30313,98,12,2
30302,99,13,2
30307,100,13,2
30310,101,13,2
30312,102,12,1
30315,103,13,1
30319,104,13,5
30326,105,13,2
30311,106,13,1
30303,107,12,2
30324,108,13,2
30418,111,16,2
30427,112,14,2
30420,113,16,2
30417,114,16,2
30423,115,16,2
30416,116,16,2
30421,117,16,2
30415,118,15,2
30419,119,15,2
30517,120,16,2
30590,121,16,2
30507,122,17,2
30506,123,17,2
30526,124,17,1
30502,125,17,2
30527,126,17,1
30528,127,17,2
30512,128,16,1
30510,129,16,5
30508,130,16,1
30504,131,16,2
30509,132,17,1
30513,133,17,1
30503,134,16,1
30524,135,16,2
30514,136,18,1
30529,137,16,2
30530,138,17,2
30538,139,17,2
30536,140,16,1
30537,141,16,4
30532,143,16,2
30522,144,16,2
30516,145,17,2
30531,146,17,2
30533,147,17,2
30535,148,17,2
30534,150,15,2
30602,151,14,5
30609,152,15,2
30624,153,15,1
30613,154,15,2
30604,155,15,2
30610,156,14,2
30618,157,14,1
30625,158,15,1
30617,159,14,2
30611,160,14,2
30622,161,14,2
30612,162,15,2
30614,163,15,2
30620,164,14,2
30621,165,15,2
30616,166,14,2
30607,167,15,2
30608,168,14,2
30605,169,15,2
30615,170,14,2
30623,171,15,2
30606,172,14,2
30603,173,14,2
30619,174,15,2
30706,175,14,2
30719,176,14,2
30718,177,14,2
30708,178,15,2
30709,179,15,2
30707,180,14,2
30725,181,15,2
30723,183,14,2
30704,184,15,2
30711,185,15,4
30713,186,14,1
30715,187,15,1
30720,188,15,2
30714,189,14,5
30712,190,15,2
30701,191,15,1
30721,192,14,2
30702,193,14,4
30716,194,15,5
30717,195,15,5
30722,196,14,2
30710,197,15,3
30724,199,15,2
